time[sec]	velocity[sec]	angle[rad]	x[m]	y[m]
9.420000	27.717556	0.001439	-13.327644	138.296844
9.450000	27.744446	0.001432	-13.364365	139.121887
9.480000	27.751295	0.001427	-13.400505	139.947586
9.510000	27.758144	0.001421	-13.436646	140.773285
9.540000	27.764994	0.001420	-13.472786	141.598969
9.570000	27.766428	0.001420	-13.508125	142.423813
9.600000	27.767862	0.001412	-13.543465	143.248657
9.630000	27.769295	0.001407	-13.578804	144.073502
9.660000	27.769514	0.001406	-13.613297	144.897308
9.690000	27.769732	0.001402	-13.647789	145.721115
9.720000	27.769951	0.001400	-13.682274	146.544922
9.750000	27.769968	0.001398	-13.715904	147.367645
9.780000	27.769985	0.001398	-13.749542	148.190369
9.810000	27.769989	0.001402	-13.782532	149.012009
9.840000	27.769993	0.001403	-13.815521	149.833649
9.870000	27.769997	0.001405	-13.848511	150.655289
9.900000	27.718807	0.001409	-13.880661	151.474976
9.930000	27.667620	0.001416	-13.912811	152.294647
9.960000	27.616430	0.001422	-13.944954	153.114319
9.990000	27.389097	0.001436	-13.975983	153.926498
10.020000	27.161764	0.001446	-14.007011	154.738678
10.050000	26.918365	0.001477	-14.036781	155.533386
10.080000	26.674969	0.001486	-14.066551	156.328094
10.110000	26.431572	0.001499	-14.096321	157.122787
10.140000	26.183886	0.001544	-14.124428	157.893234
10.170000	25.936201	0.001551	-14.152534	158.663666
10.200000	25.688519	0.001561	-14.180641	159.434097
10.230000	25.443975	0.001612	-14.207039	160.179184
10.260000	25.199434	0.001620	-14.233437	160.924271
10.290000	24.960798	0.001657	-14.258659	161.652328
10.320000	24.722162	0.001667	-14.283890	162.380386
10.350000	24.483528	0.001679	-14.309113	163.108444
10.380000	24.404699	0.001725	-14.332947	163.817017
10.410000	24.325871	0.001734	-14.356781	164.525589
10.440000	24.247044	0.001742	-14.380615	165.234146
10.470000	24.289660	0.001759	-14.403503	165.937408
10.500000	24.332277	0.001778	-14.426392	166.640671
10.530000	24.391176	0.001787	-14.448830	167.348068
10.560000	24.450075	0.001811	-14.471268	168.055466
10.590000	24.508974	0.001829	-14.493706	168.762863
